id,NameEn,NameKr,GenKr,GenName
97,Gatis Tablet,가티스정,라니티딘염산염,ranitidine
98,Gatin Capsule,가틴캡슐,가바펜틴,gabapentin
99,Gapent Capsule Milligram,가펜트캡슐밀리그램,가바펜틴,gabapentin
100,Gapent Capsule,가펜트캡슐,가바펜틴,gabapentin
101,Gapentin Capsule,가펜틴캡슐밀리그램,가바펜틴,gabapentin
102,Rosubak Tablet,로수박정,이토프리드염산염,itopride
103,Gandiva Capsule,간디바캡슐,비페닐디메틸디카르복실레이트,biphenyldimethyl dicarboxylate
104,Roytan Soft Capsule,로이탄연질캡슐,갈란타민브롬화수소산염,galantamine hydrobromide
105,Galanil PR Sustained-Release Capsule,갈라닐피알서방캡슐밀리그램,갈란타민브롬화수소산염,galantamine hydrobromide
106,Gastin Capsule,개스틴캡슐,클레보프리드말산염,clebopride malate
107,Gasporin F Tablet,개스포린에프정,라니티딘염산염,ranitidine
108,Gasporin Tablet,개스포린정,라니티딘염산염,ranitidine
109,Geondaxin Injection,건닥신주,싸이모신-알파1,thymosin-alpha 1
110,Geonletal Sustained-Release Capsule,건레탈서방캡슐밀리그램,실로스타졸,cilostazol
111,Geonmefid Tablet,건메피드정밀리그램,글리메피리드,glimepiride
112,Geonbastin Tablet,건바스틴정밀리그램,에바스틴,ebastine
113,Geonsmotin SR Tablet,건스모틴에스알정밀리그램,모사프리드시트르산염수화물,mosapride citrate hydrate
114,Geonspentin Capsule,건스펜틴캡슐밀리그램,가바펜틴,gabapentin
115,Geonito Tablet,건이토정밀리그램,이토프리드염산염,itopride
116,Keonil Rodin Tablet,건일로딘정,미결정에토돌락,microcrystalline etodolac
117,Keonil Rodin Tablet,건일로딘정밀리그램,미분화에토돌락,micronized etodolac
118,Keonil Rodin Capsule,건일로딘캡슐밀리그램,미분화에토돌락,micronized etodolac
119,Keonil Montelukast Granules,건일몬테루카스트세립밀리그램,몬테루카스트나트륨,montelukast
120,Keonil Montelukast Tablet,건일몬테루카스트정밀리그램,몬테루카스트나트륨,montelukast
121,Keonil Sugammadex Sodium Injection,건일슈가마덱스나트륨주,슈가마덱스나트륨,sugammadex
122,Keonil Sarpogrelate Hydrochloride Tablet,건일염산사포그릴레이트정,염산사포그릴레이트,sarpogrelate
123,BL Clovix Tablet,비엘클로비스정,클로피도그렐황산염,clopidogrel sulfate
124,Keonil Tianeptine Tablet,건일티아넵틴정,티아넵틴나트륨,tianeptine
125,Casodil Tablet,카소딜정밀리그램,카르베딜롤,carvedilol
126,Geoncav Tablet,건카브정밀리그램,피마사르탄칼륨삼수화물,fimasartan trihydrate
127,Geontonel Tablet,건토넬정밀리그램,무수리세드론산나트륨,anhydrous risedronate
128,Geontojet Tablet,건토젯정밀리그램,에제티미브,ezetimibe
129,Geontracet Sustained-Release Tablet,건트라셋서방정,아세트아미노펜,acetaminophen
130,Geontracet Semi Sustained-Release Tablet,건트라셋세미서방정,아세트아미노펜,acetaminophen
131,Geontrol Tablet,건트롤정밀리그램,에제티미브,ezetimibe
132,Geonpram Tablet,건프람정밀리그램,에스시탈로프람옥살산염,escitalopram oxalate
133,Geonflu Capsule,건플루캡슐밀리그램,오셀타미비르인산염,oseltamivir phosphate
134,Geonpid Tablet,건피드정,레보설피리드,levosulpiride
135,Geonpita Tablet,건피타정밀리그램,피타바스타틴칼슘,pitavastatin calcium
136,Geramin Injection,게라민주,L-아르기닌,l-arginine
137,Gerid M Tablet,게리드엠정,글리메피리드,glimepiride
138,Gerid Tablet,게리드정밀리그램,글리메피리드,glimepiride
139,Gerimet Tablet,게리메트정밀리그램,메트포르민염산염,metformin
140,Gestran Tablet,게스트란정,모사프리드시트르산염수화물,mosapride citrate hydrate
141,Gembin Injection,겜빈주,젬시타빈염산염,gemcitabine
142,Gyeongnam Oxygen Medical Nitrogen,경남산소의료용질소,질소,nitrogen
143,Kyungdong Lipigrel Tablet,경동리피그렐정밀리그램,사르포그렐레이트염산염,sarpogrelate
144,Kyungdong Cefmetazole Injection,경동세프메타졸주그램,세프메타졸나트륨,cefmetazole
145,Kyungdong Panitin Tablet,경동파니틴정밀리그램,파모티딘,famotidine
146,Kyungbang Ciprofloxacin Hydrochloride Hydrate Tablet,경방시프로플록사신염산염수화물정,시프로플록사신염산염수화물,ciprofloxacin hydrate
147,Kyungbo Rabeprazole Tablet,경보라베프라졸정,라베프라졸나트륨,rabeprazole
148,Kyungbo Loxoprofen Sodium Hydrate Tablet,경보록소프로펜나트륨수화물정,록소프로펜나트륨수화물,loxoprofen hydrate
149,Kyungbo Cefazolin Sodium Injection,경보세파졸린나트륨주그램,세파졸린나트륨,cefazolin
150,Kyungbo Cefaclor Capsule,경보세파클러캡슐,세파클러수화물,cefaclor hydrate
151,Kyungbo Cefotaxime Sodium Injection Gram,경보세포탁심나트륨주그램,세포탁심나트륨,cefotaxime
152,Kyungbo Cefuroxime Sodium Injection Gram,경보세푸록심나트륨주그램,세푸록심나트륨,cefuroxime
153,Kyungbo Cefuroxime Axetil Tablet Milligram,경보세푸록심악세틸정밀리그램,세푸록심악세틸,cefuroxime axetil
154,Kyungbo Cefmetazole Sodium Injection Gram,경보세프메타졸나트륨주그램,세프메타졸나트륨,cefmetazole
155,Kyungbo Ceftriaxone Sodium Hydrate Injection Milligram,경보세프트리악손나트륨수화물주밀리그램,세프트리악손나트륨수화물,ceftriaxone hydrate
156,Kyungbo Ceftizoxime Sodium Injection Gram,경보세프티족심나트륨주그램,세프티족심나트륨,ceftizoxime
157,Zithromax Dry Syrup,지스로맥스건조시럽,세프포독심프록세틸,cefpodoxime proxetil
158,Kyungbo Cefpodoxime Proxetil Tablet,경보세프포독심프록세틸정,세프포독심프록세틸,cefpodoxime proxetil
159,Kyungbo Cefprozil Tablet Milligram,경보세프프로질정밀리그램,세프프로질 수화물,cefprozil hydrate
160,Kyungbo Cefmenoxime Hydrochloride Injection Gram,경보염산세프메녹심정주그램,염산세프메녹심,cefmenoxime
161,Kyungbo Ibandronate Tablet,경보이반드로네이트정,이반드론산나트륨일수화물,ibandronate monohydrate
162,Kyungbo Carvedilol Tablet,경보카르베딜롤정,카르베딜롤,carvedilol
163,Kyungil Mokhyang Powder,경일목향가루,목향,mokhyang
164,Godex Max Tablet,고덱스맥스정,L-카르니틴나파디실산염,l-carnitine napadisilate
165,Godex Capsule,고덱스캡슐,오로트산카르니틴,carnitine orotate
166,Gorden Oral Disintegrating Film,고든구강용해필름,타다라필,tadalafil
167,Gorden Tablet,고든정,타다라필,tadalafil
168,Koryo Cefaclor Capsule,고려세파클러캡슐,세파클러수화물,cefaclor hydrate
169,Koryo Candesartan Tablet Milligram,고려칸데사르탄정밀리그램,칸데사르탄실렉세틸,candesartan cilexetil
170,Kwangdong Ranitidine Hydrochloride Tablet Milligram,광동라니티딘염산염정밀리그램,라니티딘염산염,ranitidine
171,Kwangdong Lafutidine Tablet,광동라푸티딘정,라푸티딘,lafutidine
172,Kwangdong Rebamipide Tablet,광동레바미피드정,레바미피드,rebamipide
173,Mecicam Capsule Milligram,메시캄캡슐밀리그램,멜록시캄,meloxicam
174,Kwangdong Bepotastine Besilate Tablet,광동베포타스틴베실산염정,베포타스틴베실산염,bepotastine besilate
175,Kwangdong Sitagliptin Phosphate Hydrate Tablet Milligram,광동시타글립틴인산염수화물정밀리그램,시타글립틴인산염수화물,sitagliptin phosphate hydrate
176,Kwangdong Erlotinib Tablet Milligram,광동엘로티닙정밀리그램,아토르바스타틴칼슘삼수화물,atorvastatin calcium trihydrate
177,Kwangdong Entecavir Tablet Milligram,광동엔테카비르정밀리그램,엔테카비르,entecavir
178,Kwangdong Empaglo Tablet Milligram,광동엠파글로정밀리그램,엠파글리플로진,empagliflozin
179,Kwangdong Clarithromycin Tablet,광동클래리트로마이신정,클래리트로마이신,clarithromycin
180,Kwangdong Clarithromycin Dry Syrup mL,광동클래리트로마이신건조시럽mL,클래리트로마이신제피과립,clarithromycin coated granules
181,Kwangdong Tamoxifen Tablet,광동타목시펜정,타목시펜시트르산염,tamoxifen citrate
182,Kwangdong Tamoxifen Tablet Milligram,광동타목시펜정밀리그램,타목시펜시트르산염,tamoxifen citrate
183,Kwangdong Pregabalin Capsule Milligram,광동프레가발린캡슐밀리그램,프레가발린,pregabalin
184,Kwangdong Hydrocortisone Tablet,광동히드로코르티손정,히드로코르티손,hydrocortisone
185,Gugu Tablet Milligram,구구정밀리그램,타다라필,tadalafil
186,Gugu Chewable Tablet Milligram,구구츄정밀리그램,타다라필,tadalafil
187,Gugu Tams Capsule,구구탐스캡슐,타다라필,tadalafil
188,Gumentin Tablet Milligram,구멘틴정밀리그램,아목시실린수화물,amoxicillin hydrate
189,Guju Diclofenac Injection Solution,구주디클로페낙주사액,디클로페낙나트륨,diclofenac
190,Guju Levosulpiride Tablet,구주레보설피리드정,레보설피리드,levosulpiride
191,Guju Spirodactone Tablet,구주스피로닥톤정,스피로노락톤,spironolactone
192,Guju Ofloxacin Tablet,구주오플록사신정,오플록사신,ofloxacin
193,Guju Codeine Phosphate Tablet,구주인산코데인정,코데인인산염수화물,codeine phosphate hydrate
194,Guju Tofacitinib Tablet Milligram,구주토파시티닙정밀리그램,토파시티닙아스파르트산염,tofacitinib aspartate
195,Kukje Donepezil Tablet,국제도네페질정,도네페질염산염,donepezil
196,Kukje Doxycycline Hyclate Hydrate Capsule Milligram,국제독시사이클린하이클레이트수화물캡슐밀리그램,독시사이클린하이클레이트수화물,doxycycline hyclate hydrate
197,Kukje Rebamipide Tablet,국제레바미피드정,레바미피드,rebamipide
198,Kukje Loratadine Tablet,국제로라타딘정,로라타딘,loratadine
199,Kukje Losartan Tablet Milligram,국제로잘탄정밀리그램,로사르탄칼륨,losartan
200,Kukje Limaprost Tablet,국제리마프로스트정,리마프로스트알파덱스,limaprost alfadex
201,Gukje Rivaroxaban Tablet Milligram,국제리바록사반정밀리그램,리바록사반(미분화),rivaroxaban
202,Gukje Mosapride Extended-Release Tablet Milligram,국제모사라이드서방정밀리그램,모사프리드시트르산염수화물,mosapride
203,Gukje Mosapride Tablet,국제모사라이드정,모사프리드시트르산염수화물,mosapride
204,Gukje Cephalexin Capsule,국제세팔렉신캡슐,세파드록실수화물,cefadroxil
205,Gukje Cefazedone Injection Gram,국제세파제돈주그람,세파제돈나트륨,cefazedone
206,Gukje Ceftriaxone Sodium Hydrate Injection Gram,국제세프트리악손나트륨수화물주그램,세프트리악손나트륨수화물,ceftriaxone
207,Gukje Cefixime Hydrate Capsule,국제세픽심수화물캡슐,세픽심수화물,cefixime
208,Gukje Cimetidine Tablet,국제시메티딘정,시메티딘,cimetidine
209,Gukje Medical Oxygen,국제의료용산소,산소,oxygen
210,Gukje Itopride Tablet,국제이토라이드정,이토프리드염산염,itopride
211,Gukje Pioglitazone Tablet,국제피오글리타존정,피오글리타존염산염,pioglitazone
212,Goodtraset Semi Tablet,굿트라셋세미정,트라마돌염산염,tramadol
213,Goodtraset Tablet,굿트라셋정,트라마돌염산염,tramadol
214,Geudaeropil Tablet Milligram,그대로필정밀리그램,실데나필시트르산염,sildenafil
215,Balpin Soft Capsule,발핀연질캡슐,콜린알포세레이트,choline alfoscerate
216,Gracia Tablet,그라시아정,콜린알포세레이트,choline alfoscerate
217,Gratron Injection,그라트론주,염산그라니세트론,granisetron
218,Gratril OD Tablet,그라트릴오디정,그라니세트론염산염,granisetron
219,Geuraeseosan Milligram,그래서산밀리그램,타다라필,tadalafil
220,Geuraeseojeong Milligram,그래서정밀리그램,타다라필,tadalafil
221,Gralise Extended-Release Tablet Milligram,그랠리즈서방정밀리그램,가바펜틴,gabapentin
222,Zepo Tablet,제포정,클로피도그렐황산수소염,clopidogrel
223,Gromo Tablet Milligram,그로모정밀리그램,피나스테리드,finasteride
224,Gromin Capsule Milligram,그로민캡슐밀리그램,클로미프라민염산염,clomipramine
225,Wonpecia Tablet Milligram,원페시아정밀리그램,피나스테리드,finasteride
226,Grulis M Tablet,그루리스엠정,메트포르민염산염,metformin
227,Grulis Tablet Milligram,그루리스정밀리그램,글리메피리드,glimepiride
228,Grusiga Tablet Milligram,그루시가정밀리그램,다파글리플로진프로판디올수화물,dapagliflozin
229,Glutazone Tablet Milligram,그루타존정밀리그램,피오글리타존염산염,pioglitazone
230,Gripin Tablet Milligram,그리핀정밀리그램,글리메피리드,glimepiride
231,Grid Tablet,그리드정,글리메피리드,glimepiride
232,Grimarin Tablet,그리마린정,글리메피리드,glimepiride
233,Grimepol Extended-Release Tablet Milligram,그리메폴서방정밀리그램,메트포르민염산염,metformin
234,Grimepid Tablet Milligram,그리메피드정밀리그램,글리메피리드,glimepiride
235,Grimex Extended-Release Tablet Milligram,그리멕스서방정밀리그램,글리메피리드,glimepiride
236,Grimel Tablet,그리멜정,글리메피리드,glimepiride
237,Gria Powder,그리아산제,콜린알포세레이트,choline alfoscerate
238,Gria Syrup,그리아시럽,콜린알포세레이트,choline alfoscerate
239,Gria Soft Capsule,그리아연질캡슐,콜린알포세레이트,choline alfoscerate
240,Gria Tablet,그리아정,콜린알포세레이트,choline alfoscerate
241,Griatin Soft Capsule,그리아틴연질캡슐,콜린알포세레이트,choline alfoscerate
242,Griatin Tablet,그리아틴정,콜린알포세레이트,choline alfoscerate
243,Glijide Tablet,그리자이드정캄보디아수출명멜리크론정,글리클라짓,gliclazide
244,Glycomin Extended-Release Tablet Milligram,그리코민서방정밀리그램,메트포르민염산염,metformin
245,Glycomin Tablet,그리코민정,메트포르민염산염,metformin
246,Glytazone Tablet Milligram,그리타존정밀리그램,피오글리타존염산염,pioglitazone
247,Disseba Tablet Milligram,디쎄바정밀리그램,글리메피리드,glimepiride
248,Gripin Tablet,그리핀정,피오글리타존염산염,pioglitazone
249,Green OPA Solution,그린오피에이액,o-프탈알데히드,o-phthalaldehyde
250,Greenpharm Capsule,그린팜캡슐,티모모둘린,thymomodulin
251,Grill Tab.,그릴정,글리메피리드,glimepiride
252,Geuntong Tab.,근통정,메토카르바몰,methocarbamol
253,Gliem Tab. mg,글리엠정밀리그램,글리메피리드,glimepiride
254,Gladin Tab. mg,글라딘정밀리그램,이르소글라딘말레산염,irsogladine maleate
255,Glamax Tab.,글라맥정,폴라프레징크,polaprezinc
256,Glamin Inj.,글라민주,L-알라닌,l-alanine
257,Glavis Tab. mg,글라비스정밀리그램,메트포르민염산염,metformin
258,Glima Tab. mg,글리마정밀리그램,글리메피리드,glimepiride
259,Glazol S Eye Drops,글라졸에스점안액,도르졸라미드염산염,dorzolamide
260,Glatidine Tab.,글라티딘정,라푸티딘,lafutidine
261,Glatic Tab. mg,글라틱정밀리그램,나테글리니드,nateglinide
262,Glaformin M Tab. mg,글라포민엠정밀리그램,메트포르민염산염,metformin
263,Gledin M Tab. mg,글레딘엠정밀리그램,글리메피리드,glimepiride
264,Glerid Tab.,글레리드정,글리메피리드,glimepiride
265,Glerin Duo SR Tab. mg,글레린듀오서방정밀리그램,메트포르민염산염,metformin
266,Glerin Duo Tab. mg,글레린듀오정밀리그램,리나글립틴,linagliptin
267,Glerin Tab. mg,글레린정밀리그램,리나글립틴,linagliptin
268,Glea Tab. mg,글레아정밀리그램,글리메피리드,glimepiride
269,Glezon Met Tab. mg,글레존메트정밀리그램,메트포르민염산염,metformin
270,Glezon Tab.,글레존정,피오글리타존염산염,pioglitazone
271,Glogrel Tab. mg,글로그렐정밀리그램,클로피도그렐황산수소염,clopidogrel hydrogen sulfate
272,Glonase Tab.,글로나제정,스트렙토키나제ㆍ스트렙토도르나제,streptokinase and streptodornase
273,Glodiol Tab.,글로디올정,카르베딜롤,carvedilol
274,Glupa Tab.,글루파정,라베프라졸나트륨,rabeprazole
275,Glorabe Tab. mg,글로라베정밀리그램,라베프라졸나트륨,rabeprazole
276,Gloreair Tab. mg,글로레어정밀리그램,몬테루카스트나트륨,montelukast
277,Gloreair Chewable Tab. mg,글로레어츄정밀리그램,몬테루카스트나트륨,montelukast
278,Glit Soft Cap.,글리트연질캡슐,콜린알포세레이트,choline alfoscerate
279,Glorion Tab. mg,글로리온정밀리그램,베포타스틴베실산염,bepotastine besilate
280,Glomipid Tab.,글로미피드정,레바미피드,rebamipide
281,Globerin Tab.,글로베린정,프로피베린염산염,propiverine
282,Glovice Tab.,글로비스정,라니티딘염산염,ranitidine
283,Glovit Tab.,글로비트정,레보플록사신수화물,levofloxacin hydrate
284,Glovit Tab. mg,글로비트정밀리그램,레보플록사신수화물,levofloxacin hydrate
285,Glocefuroxime Tab.,글로세푸록심정,세푸록심악세틸,cefuroxime axetil
286,Glostar Tab. mg,글로스타정밀리그램,아토르바스타틴칼슘수화물,atorvastatin calcium hydrate
287,Glostin Tab.,글로스틴정,아젤라스틴염산염,azelastine
288,Gloson Tab.,글로슨정,보글리보스,voglibose
289,Glositag Tab. mg,글로시타글정밀리그램,시타글립틴염산염수화물,sitagliptin hydrate
290,Glositaformin SR Tab. mg,글로시타포민서방정밀리그램,시타글립틴염산염수화물,sitagliptin hydrate
291,Glositaformin Tab. mg,글로시타포민정밀리그램,시타글립틴염산염수화물,sitagliptin hydrate
292,Gloata Tab. mg,글로아타정밀리그램,칸데사르탄실렉세틸,candesartan cilexetil
293,Gloata Plus Tab.,글로아타플러스정,칸데사르탄실렉세틸,candesartan cilexetil
294,Gloerison SR Tab.,글로에리손SR서방정,에페리손염산염,eperisone
295,Gloerison Tab.,글로에리손정,에페리손염산염,eperisone
296,Glojet Tab. mg,글로젯정밀리그램,아토르바스타틴칼슘삼수화물,atorvastatin calcium trihydrate
297,Glotapa Tab. mg,글로타파정밀리그램,다파글리플로진프로판디올수화물,dapagliflozin propanediol hydrate
298,Glotelmian Tab. mg,글로텔미탄정밀리그램,텔미사르탄,telmisartan
299,Glotra Tab.,글로트라정,이트라코나졸고체분산체,itraconazole solid dispersion
300,Glotin Duo Tab.,글로틴듀오정,리나글립틴,linagliptin
301,Glotin Tab mg,글로틴정밀리그램,리나글립틴,linagliptin
302,Glotip Tab mg,글로팁정밀리그램,이매티닙메실산염,imatinib
303,Glopidogrel Tab,글로피도그렐정,클로피도그렐황산염,clopidogrel
304,Glophyllin Cap,글로필린캡슐,아세브로필린,acebrophylline
305,Nuje Tab,누제정,록시트로마이신,roxithromycin
306,Gludapa Tab mg,글루다파정밀리그램,다파글리플로진프로판디올수화물,dapagliflozin
307,Gluduo Tab mg,글루듀오정밀리그램,다파글리플로진프로판디올수화물,dapagliflozin
308,Glurapid Tab,글루래피드정,나테글리니드,nateglinide
309,Gluris Tab,글루리스정,피오글리타존염산염,pioglitazone
310,Glupa XR SR Tab mg,글루파엑스알서방정밀리그램,리나글립틴(미분화),linagliptin
311,Gluliptin Duo Tab mg,글루립틴듀오정밀리그램,리나글립틴,linagliptin
312,Glubase Tab,글루베이스정,보글리보스,voglibose
313,Glubia Tab,글루비아정,시타글립틴인산염수화물,sitagliptin
314,Glupacombi Tab,글루파콤비정,시타글립틴인산염수화물,sitagliptin
315,Glubiem Tab mg,글루비엠정밀리그램,글리메피리드,glimepiride
316,Glubi Tab,글루비정,글리메피리드,glimepiride
317,Glucera SR Tab,글루세라서방정,메트포르민염산염,metformin
318,Glustop Tab mg,글루스탑정밀리그램,피오글리타존염산염,pioglitazone
319,Glucita Duo Tab mg,글루시타듀오정밀리그램,시타글립틴염산염수화물,sitagliptin
320,Gluem SR Tab,글루엠서방정,메트포르민염산염,metformin
321,Gluzenta Tab mg,글루젠타정밀리그램,리나글립틴,linagliptin
322,Gluconon Tab mg,글루코논정밀리그램,피오글리타존염산염,pioglitazone
323,Glucodown Tab mg,글루코다운정밀리그램,메트포르민염산염,metformin
324,Glucogen Tab mg,글루코젠정밀리그램,메트포르민염산염,metformin
325,Glucophage XR SR Tab,글루코파지엑스알서방정,메트포르민염산염,metformin
326,Glucophage Tab mg,글루코파지정밀리그램,메트포르민염산염,metformin
327,Glucombi Tab mg,글루콤비정밀리그램,메트포르민염산염,metformin
